iter	Passed	Remaining
0	5	5395
1	15	7742
2	23	7821
3	32	8135
4	39	7863
5	47	7872
6	54	7731
7	61	7621
8	68	7539
9	75	7455
10	82	7382
11	88	7317
12	113	8629
13	121	8537
14	129	8510
15	136	8382
16	144	8363
17	151	8268
18	158	8200
19	165	8130
20	172	8055
21	180	8007
22	186	7933
23	194	7912
24	201	7851
25	208	7813
26	215	7761
27	223	7764
28	230	7726
29	238	7704
30	245	7681
31	252	7652
32	260	7626
33	266	7579
34	274	7561
35	280	7522
36	288	7506
37	295	7470
38	301	7436
39	308	7410
40	315	7379
41	322	7362
42	330	7352
43	337	7340
44	345	7322
45	351	7298
46	360	7312
47	367	7283
48	374	7260
49	380	7235
50	387	7214
51	394	7191
52	401	7175
53	408	7162
54	416	7152
55	425	7165
56	445	7375
57	453	7369
58	460	7348
59	468	7342
60	475	7320
61	485	7352
62	494	7352
63	502	7351
64	509	7332
65	517	7317
66	524	7298
67	531	7279
68	539	7277
69	547	7267
70	554	7256
71	561	7238
72	568	7218
73	575	7201
74	582	7189
75	588	7156
76	596	7144
77	603	7134
78	610	7119
79	617	7104
80	624	7090
81	632	7080
82	639	7070
83	646	7050
84	653	7037
85	661	7027
86	668	7013
87	674	6988
88	679	6959
89	685	6927
90	691	6906
91	697	6883
92	702	6852
93	709	6837
94	715	6815
95	721	6796
96	727	6776
97	734	6760
98	742	6757
99	750	6756
100	774	6894
101	781	6878
102	789	6877
103	798	6880
104	808	6890
105	818	6905
106	827	6903
107	837	6915
108	843	6896
109	851	6891
110	859	6886
111	867	6876
112	874	6861
113	885	6885
114	894	6887
115	905	6896
116	912	6888
117	921	6886
118	929	6878
119	937	6875
120	944	6864
121	952	6851
122	958	6833
123	965	6820
124	971	6800
125	980	6797
126	986	6781
127	992	6763
128	999	6751
129	1006	6737
130	1014	6727
131	1020	6712
132	1028	6703
133	1035	6689
134	1044	6689
135	1054	6701
136	1064	6707
137	1071	6694
138	1081	6700
139	1089	6690
140	1097	6686
141	1103	6669
142	1111	6663
143	1119	6655
144	1128	6653
145	1136	6645
146	1144	6640
147	1151	6629
148	1159	6620
149	1166	6612
150	1173	6598
151	1179	6580
152	1187	6572
153	1193	6556
154	1201	6550
155	1207	6535
156	1214	6519
157	1221	6508
158	1227	6494
159	1235	6488
160	1242	6472
161	1249	6463
162	1256	6454
163	1263	6442
164	1271	6432
165	1282	6443
166	1291	6442
167	1317	6523
168	1329	6539
169	1349	6588
170	1356	6575
171	1364	6569
172	1371	6556
173	1378	6542
174	1385	6529
175	1391	6513
176	1399	6507
177	1406	6493
178	1414	6489
179	1421	6476
180	1429	6467
181	1435	6452
182	1441	6436
183	1448	6424
184	1454	6407
185	1463	6402
186	1481	6439
187	1487	6425
188	1494	6412
189	1499	6393
190	1505	6376
191	1511	6359
192	1516	6340
193	1521	6322
194	1527	6303
195	1531	6283
196	1537	6267
197	1543	6250
198	1548	6233
199	1553	6215
200	1559	6199
201	1565	6183
202	1571	6169
203	1576	6153
204	1582	6136
205	1589	6127
206	1594	6109
207	1599	6092
208	1605	6077
209	1611	6060
210	1616	6044
211	1622	6030
212	1627	6014
213	1634	6001
214	1640	5988
215	1646	5975
216	1652	5963
217	1657	5946
218	1664	5935
219	1670	5923
220	1676	5911
221	1683	5901
222	1690	5891
223	1697	5881
224	1705	5874
225	1716	5878
226	1730	5891
227	1740	5894
228	1752	5899
229	1760	5894
230	1769	5891
231	1777	5883
232	1786	5882
233	1799	5892
234	1808	5885
235	1817	5883
236	1825	5875
237	1834	5871
238	1841	5864
239	1850	5860
240	1858	5852
241	1870	5858
242	1882	5865
243	1899	5886
244	1907	5877
245	1916	5872
246	1923	5862
247	1931	5856
248	1938	5847
249	1947	5841
250	1955	5834
251	1963	5826
252	1970	5817
253	1978	5811
254	1987	5806
255	1995	5799
256	2002	5789
257	2011	5785
258	2019	5778
259	2028	5772
260	2036	5764
261	2045	5761
262	2052	5750
263	2059	5740
264	2066	5731
265	2074	5723
266	2081	5713
267	2089	5706
268	2096	5696
269	2104	5690
270	2113	5685
271	2121	5678
272	2128	5667
273	2135	5657
274	2141	5645
275	2148	5635
276	2155	5625
277	2161	5614
278	2168	5604
279	2175	5593
280	2181	5582
281	2189	5573
282	2195	5562
283	2203	5554
284	2209	5543
285	2216	5532
286	2221	5519
287	2227	5507
288	2235	5499
289	2242	5489
290	2249	5481
291	2256	5471
292	2264	5463
293	2271	5454
294	2278	5444
295	2284	5433
296	2290	5421
297	2298	5413
298	2304	5403
299	2310	5392
300	2318	5383
301	2323	5371
302	2330	5360
303	2336	5348
304	2342	5337
305	2348	5325
306	2353	5312
307	2360	5302
308	2365	5290
309	2372	5279
310	2379	5271
311	2385	5260
312	2392	5250
313	2397	5238
314	2403	5226
315	2410	5216
316	2416	5205
317	2421	5193
318	2428	5184
319	2435	5174
320	2443	5168
321	2449	5156
322	2456	5147
323	2473	5161
324	2484	5159
325	2491	5150
326	2501	5149
327	2508	5140
328	2517	5133
329	2524	5125
330	2532	5118
331	2538	5108
332	2544	5096
333	2551	5087
334	2557	5076
335	2564	5068
336	2570	5057
337	2577	5048
338	2584	5038
339	2590	5028
340	2597	5020
341	2603	5008
342	2609	4997
343	2615	4987
344	2621	4977
345	2629	4969
346	2635	4959
347	2642	4950
348	2648	4939
349	2653	4928
350	2661	4920
351	2667	4910
352	2675	4903
353	2681	4892
354	2686	4881
355	2693	4872
356	2699	4862
357	2705	4852
358	2712	4843
359	2719	4834
360	2726	4826
361	2732	4815
362	2739	4807
363	2746	4798
364	2752	4788
365	2760	4781
366	2765	4769
367	2772	4760
368	2778	4751
369	2783	4740
370	2791	4732
371	2796	4721
372	2803	4712
373	2808	4701
374	2815	4691
375	2821	4682
376	2826	4671
377	2832	4661
378	2838	4651
379	2844	4640
380	2851	4632
381	2857	4623
382	2863	4612
383	2870	4604
384	2875	4593
385	2884	4588
386	2890	4578
387	2896	4568
388	2902	4558
389	2907	4547
390	2913	4538
391	2920	4529
392	2926	4519
393	2931	4509
394	2937	4498
395	2942	4488
396	2948	4478
397	2953	4467
398	2958	4456
399	2964	4446
400	2969	4435
401	2975	4426
402	2982	4417
403	2987	4407
404	2992	4396
405	2998	4387
406	3004	4377
407	3010	4367
408	3015	4357
409	3021	4347
410	3027	4338
411	3032	4328
412	3038	4318
413	3043	4308
414	3048	4297
415	3053	4287
416	3060	4279
417	3066	4268
418	3071	4259
419	3079	4252
420	3085	4243
421	3091	4234
422	3097	4224
423	3103	4215
424	3109	4206
425	3114	4197
426	3120	4187
427	3125	4177
428	3130	4167
429	3135	4156
430	3141	4146
431	3145	4136
432	3150	4125
433	3155	4115
434	3160	4105
435	3165	4094
436	3171	4085
437	3176	4075
438	3180	4064
439	3185	4054
440	3191	4045
441	3199	4039
442	3207	4032
443	3213	4023
444	3220	4016
445	3225	4007
446	3231	3998
447	3237	3988
448	3243	3980
449	3249	3971
450	3254	3961
451	3259	3951
452	3268	3947
453	3274	3938
454	3283	3933
455	3290	3925
456	3296	3917
457	3303	3909
458	3308	3900
459	3315	3891
460	3320	3881
461	3324	3871
462	3330	3862
463	3335	3852
464	3340	3843
465	3345	3833
466	3350	3824
467	3355	3814
468	3360	3804
469	3365	3794
470	3369	3784
471	3374	3775
472	3379	3765
473	3384	3755
474	3389	3745
475	3394	3736
476	3399	3727
477	3404	3717
478	3409	3708
479	3414	3698
480	3419	3689
481	3424	3679
482	3428	3670
483	3433	3660
484	3438	3650
485	3443	3642
486	3449	3633
487	3454	3624
488	3459	3615
489	3464	3605
490	3469	3596
491	3474	3587
492	3479	3578
493	3484	3568
494	3489	3559
495	3494	3550
496	3499	3541
497	3511	3540
498	3516	3530
499	3522	3522
500	3526	3512
501	3531	3503
502	3537	3495
